Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
23/05/2007	456.75	-4.5	1.435825208	1.874151752	0.766120036	43.37870703	
24/05/2007	455.5	-1.25	1.333266265	1.829569484	0.728732238	42.15414175	
25/05/2007	453.5	-2	1.23803296	1.841743092	0.672207196	40.1987982	
29/05/2007	459.25	5.75	1.56031632	1.710190014	0.912364303	47.70870809	
30/05/2007	461.25	2	1.591722297	1.588033585	1.002322818	50.05800308	
31/05/2007	458.75	-2.5	1.478027848	1.653174043	0.894054594	47.2032114	
01/06/2007	462.25	3.5	1.62245443	1.535090183	1.056911475	51.38342063	
04/06/2007	458	-4.25	1.506564828	1.729012313	0.871344187	46.56247595	
05/06/2007	450	-8	1.398953054	2.176940004	0.642623615	39.12178109	
06/06/2007	440	-10	1.299027836	2.735730004	0.474837734	32.19593065	
07/06/2007	435.25	-4.75	1.206240134	2.879606432	0.418890623	29.52240409	
08/06/2007	438.25	3	1.334365838	2.673920259	0.49902978	33.29018453	
11/06/2007	446.5	8.25	1.828339707	2.482925954	0.736364974	42.40842135	
12/06/2007	445.25	-1.25	1.697744014	2.394859815	0.708911646	41.483224	
13/06/2007	446	0.75	1.630048013	2.2237984	0.733001702	42.29665218	
14/06/2007	452.75	6.75	1.995758869	2.064955657	0.96648994	49.14797276	
15/06/2007	460.25	7.5	2.38891895	1.917458824	1.245877575	55.47397547	
18/06/2007	456.75	-3.5	2.218281882	2.03049748	1.092481968	52.20986296	
19/06/2007	434.5	-22.25	2.059833176	3.47474766	0.592800795	37.21751	
20/06/2007	428	-6.5	1.912702235	3.690837112	0.518229924	34.13382358	
21/06/2007	422	-6	1.776080647	3.855777319	0.460628428	31.53631817	
22/06/2007	430.75	8.75	2.274217743	3.580364653	0.635191653	38.84508902	
25/06/2007	435.5	4.75	2.451059333	3.324624321	0.737244	42.43756203	
26/06/2007	426.25	-9.25	2.275983666	3.747865441	0.607274648	37.78287978	
27/06/2007	422.75	-3.5	2.113413405	3.730160766	0.566574348	36.16645126	
28/06/2007	421.5	-1.25	1.962455304	3.553006426	0.552336548	35.58097944	
29/06/2007	418.5	-3	1.822279925	3.513505967	0.518650016	34.15204362	
02/07/2007	414	-4.5	1.692117074	3.583969826	0.472134855	32.07144055	
03/07/2007	418.75	4.75	1.910537283	3.327971982	0.574084546	36.47101086	
04/07/2007	417.25	-1.5	1.774070334	3.197402554	0.55484735	35.6850047	
05/07/2007	416.5	-0.75	1.647351024	3.022588086	0.545013405	35.27564247	
06/07/2007	414.25	-2.25	1.529683094	2.967403223	0.515495529	34.01498184	
09/07/2007	415	0.75	1.473991444	2.75544585	0.534937547	34.85076954	
10/07/2007	414	-1	1.368706341	2.630056861	0.520409411	34.22824189	
11/07/2007	422.75	8.75	1.895941603	2.442195656	0.776326662	43.70404829	
12/07/2007	429.5	6.75	2.24266006	2.267753109	0.988934841	49.72183203	
13/07/2007	432	2.5	2.261041484	2.105770744	1.073735823	51.77784997	
16/07/2007	428	-4	2.099538521	2.241072834	0.936845286	48.36965001	
17/07/2007	426	-2	1.949571484	2.223853346	0.876663691	46.71394749	
18/07/2007	420.5	-5.5	1.810316378	2.457863821	0.736540553	42.41424432	
19/07/2007	422.5	2	1.823865208	2.28230212	0.799133994	44.41770299	
20/07/2007	417.25	-5.25	1.693589121	2.49428054	0.678989029	40.44034935	
23/07/2007	417.25	0	1.57261847	2.316117644	0.678989029	40.44034935	
24/07/2007	415.5	-1.75	1.460288579	2.275680669	0.641693098	39.08727514	
25/07/2007	409.75	-5.75	1.355982252	2.523846336	0.53726815	34.9495402	
26/07/2007	405.5	-4.25	1.259126377	2.647143026	0.475654834	32.23347514	
27/07/2007	405	-0.5	1.169188779	2.493775667	0.468842805	31.91919539	
30/07/2007	402.75	-2.25	1.085675294	2.47636312	0.438415225	30.47904509	
31/07/2007	407.75	5	1.365269916	2.29948004	0.59372984	37.25410827	
01/08/2007	403.75	-4	1.267750637	2.420945751	0.52365925	34.36852761	
02/08/2007	409.25	5.5	1.570054162	2.248021055	0.698416129	41.12161425	
03/08/2007	406.25	-3	1.457907437	2.301733836	0.633395319	38.7778336	
06/08/2007	409.25	3	1.568056905	2.137324277	0.733654187	42.31836965	
07/08/2007	419.75	10.5	2.206052841	1.984658257	1.111553001	52.64149185	
08/08/2007	431.25	11.5	2.869906209	1.842896953	1.557279806	60.89594898	
09/08/2007	424.75	-6.5	2.664912909	2.17554717	1.224939153	55.05495067	
10/08/2007	414	-10.75	2.474561987	2.788008087	0.887573461	47.02192944	
13/08/2007	427.75	13.75	3.279950416	2.588864652	1.266945498	55.88777936	
14/08/2007	425.25	-2.5	3.045668244	2.582517177	1.179340943	54.1145683	
15/08/2007	422	-3.25	2.828120512	2.630194521	1.075251465	51.81306859	
16/08/2007	404	-18	2.626111904	3.72803777	0.704422022	41.32908475	
